Location, Link,Title,Description
Colorado,http://geoid.colorado.edu/grace/dataportal.html,CU GRACE Data Portal - Data - University of Colorado Boulder,"CU GRACE Data Portal ... Data Center ... The University of Colorado has an 
active research group that has been involved with the GRACE Project for manyÂ ..."
Colorado,http://www.blm.gov/wo/st/en/prog/more/Landscape_Approach/reas/dataportal.html,REA Data Portal - Bureau of Land Management,"Jan 2, 2014 ... Rapid Ecoregional Assessments (REAs) data portal for geospatial data, maps, 
and models used and produced by the ... Colorado Plateau."
Colorado,http://home.earthlink.net/~giswebmaster/id3.html,Colorado's GIS Portal - Data,"Aug 14, 2009 ... For free: Areas of Critical Environmental Concern, National Monument, National 
Conservation Areas, Wilderness Areas, Wilderness StudyÂ ..."
Colorado,http://www.socrata.com/customer-spotlight/state-of-colorado/,"State of Colorado - Socrata, Inc.","Fulfilling Government Services via Open Data Innovation In an effort to 
modernize aging infrastructure, the State of Colorado has taken a new approach 
to d."
Connecticut,http://ctdata.org/portals,Portals - Connecticut Data Collaborative,"The Connecticut Data Partnership is working with a number of partners to create 
... The Early Childhood Portal presents data related to the well-being of youngÂ ..."
Connecticut,http://ctdata.org/about,About Us - Connecticut Data Collaborative,"Access - Meeting demands for public access to data through the Collaborative's 
data portal, CTData.org, and the associated Connecticut Nonprofit StrategyÂ ..."
Connecticut,http://ctdata.org/ec,Early Childhood Portal - Connecticut Data Collaborative,"Early Childhood Portal ... Data and tools for collaboration & communication ... 
and performance to drive improvements in Connecticut's Early Childhood System
,Â ..."
Connecticut,http://ctmirror.org/qa-open-data-portal/,Q&A: Open data portal | The CT Mirror,"Jan 27, 2014 ... Connecticut plans to launch its open data portal in about a month. Several 
residents, from data scientists to elected representatives, haveÂ ..."
Connecticut,http://ctmirror.org/connecticut-plans-launch-open-data-portal/,Connecticut plans to launch open data portal | The CT Mirror,"Connecticut plans to launch open data portal. By: Alvin Chang | January 13, 2014 
View as Clean Read. Tweet. Print. Every time an inmate enters or leaves aÂ ..."
Connecticut,http://sdeportal.ct.gov/,State Department of Education - CEDaR - CT.gov,"View, graph and compare longitudinal education data for Connecticut's public 
districts and schools. Data Tables. View, export and drill into education data 
tablesÂ ..."
Connecticut,http://transparency.ct.gov/,Connecticut Transparency Website,"CT.gov, a website developed by the Connecticut General Assembly under the ... 
of Fiscal Analysis with data provided by the Office of the State Comptroller."
Connecticut,http://discovery.wcgmf.org/news/digest/early-childhood-planning-director%E2%80%99s-field-notes-and-getting-more-visibility-your,The CT Data Portal and Early Childhood Planning Director's Field ...,"The Early Childhood Data Portal is online at CTData.org. This tool, which was 
developed by the Connecticut Data Collaborative with funding from the Memorial
Â ..."
Connecticut,http://ctdatahaven.org/know/index.php/Following_the_Open_Data_Movement_in_Connecticut_and_Nationally,Following the Open Data Movement in Connecticut and Nationally ...,"Jan 20, 2014 ... New Connecticut State Website - In a related development, the state has ... CKAN 
- Open source Open Data Portal software from the OpenÂ ..."
Connecticut,http://www.ctdatahaven.org/know/images/8/87/CTDC_Fact_sheet_CCM.doc,Connecticut doesn't use data effectively to support ... - DataHaven,"The Connecticut Data Collaborative is a coalition of individuals and ... for public 
access to data through the Collaborative's data portal, CTData.org, and theÂ ..."
Delaware,http://www.delaware.gov/data/,State of Delaware - Topics - Open Data Portal,"A repository for links to various open data sets published by the Delaware 
Government Information Center and other Delaware agencies. This is not meant 
to beÂ ..."
Delaware,http://www.dnrec.delaware.gov/Admin/DelawareWetlands/Pages/DataPortal.aspx,Data Portal Home - Delaware Department of Natural Resources and ...,"Data Portal Homepage. What is a data portal? This data portal is designed to 
provide a central location for wetland-related information, data, and reports for 
theÂ ..."
Delaware,http://www.dnrec.delaware.gov/swc/wa/Pages/WaterQualityMonitoring.aspx,WaterQualityMonitoring - Delaware Department of Natural ...,"DNREC Water Quality Monitoring Network Data Portal ... Monitoring Program 
collects data on the chemical, physical, and biological characteristics of 
Delaware'sÂ ..."
Delaware,http://www.deos.udel.edu/odd-divas/wquality.php,DNREC Water Quality Data Portal - Delaware Environmental ...,
Delaware,http://demac.udel.edu/projects,Projects | DEMAC - University of Delaware,"The Delaware Environmental Monitoring & Analysis Center (DEMAC) is pleased 
to ... Currently the Delaware Water Quality Portal contains data from DelawareÂ ..."
Delaware,http://demac.udel.edu/projects/comprehensive-real-time-water-quality-monitoring-capability-delaware-inland-bays,Development of a Comprehensive Real-Time Water Quality ...,"Monitoring Locations in and around the Delaware Inland Bays ... DNREC Water 
Quality Data Portal Â· Environmental Monitoring Sites Portal Â· Center for InlandÂ ..."
Delaware,http://en.wikipedia.org/wiki/Portal:Delaware,"Portal:Delaware - Wikipedia, the free encyclopedia","Delaware poopy tin named after Thomas West, 3rd Baron De La Warr, was the 
first .... Geographical coordinates: Delaware articles missing geocoordinate data Â· 
Infobox: ... Coordinate with Delaware Portal to provide quality articles for use."
Delaware,http://www.mcatoolkit.org/Resources/US_State_Maps/Maps_Delaware.html,Delaware Maps - Marine Conservation Agreements,"In addition, the state is currently (as of 2011) developing a statewide in-house 
data portal to allow agencies to access each other's data directly. The DelawareÂ ..."
Delaware,http://delaware.newszap.com/centraldelaware/127544-70/state-gets-high-grades-for-education-data,State gets high grades for education data - Delaware Newszap,"Nov 19, 2013 ... In the report released by the Data Quality Campaign, only Delaware and ... and 
districts, but with the portal, that data will be easier to navigate."
Delaware,http://deeds.doe.k12.de.us/,DEEDS Home Page,"Welcome to the Delaware Educator Data System (DEEDS) New Educators 
please use the New Applicants link. Or, choose a Public Resource from the menu
."
District of Columbia,http://data.dc.gov/,DC Data Catalog,"For years the District of Columbia has provided public access to city operational 
data through the Internet. Now the District provides citizens with the access toÂ ..."
District of Columbia,http://dcgis.dc.gov/,DC GIS,"DC GIS The District of Columbia Geographic Information System (DC GIS) is ... 
As a technology, GIS empowers policymakers and implementers with data andÂ ..."
District of Columbia,http://brc.dc.gov/,District of Columbia: Business Resource Center: Homepage,"DC.Gov's Business Resource Center provides information about and links to 
numerous resources for doing business in DC, including city services, incentives,
Â ..."
District of Columbia,"http://en.wikipedia.org/wiki/Portal:Washington,_D.C.","Portal:Washington, D.C. - Wikipedia, the free encyclopedia","Washington, D.C. is the capital city of the United States of America. D.C. stands 
for the District of Columbia, the federal district containing the city ofÂ ..."
District of Columbia,https://gov.propertyinfo.com/dc-washington/,DC ROD Online Public Records - Government,"ALL HISTORIC INDEX DATA AND ALL NEW DATA AND IMAGES FROM JAN ... 
TO PRESENT ARE AVAILABLE ONLY IN THE NEW SEARCH PORTAL WHICHÂ ..."
District of Columbia,http://www.k12.dc.us/,"Home - DC Public Schools, Washington, DC","More District of Columbia Public School (DCPS) students than ever before are 
taking Advanced Placement (AP) courses, according to data available from theÂ ..."
District of Columbia,http://capitalbikeshare.com/system-data,System Data | Capital Bikeshare,"Your bike sharing system in Washington, D.C.. ... Thanks for visiting the Capital 
Bikeshare System Data page. We hope this will be your one stop shop for allÂ ..."
District of Columbia,http://www.medicaid.gov/Medicaid-CHIP-Program-Information/By-State/District-of-Columbia.html,District of Columbia | Medicaid.gov,"The District of Columbia is operating a State-based Marketplace, known as DC ... 
rely primarily on information available through data sources (e.g., the SocialÂ ..."
District of Columbia,http://developer.wmata.com/,WMATA Developer Portal - Metro,"The collection of data offered here allows developers to create new and 
innovative applications for the web or ... Metrorail : Build with Washington DC 
Metro API."
District of Columbia,http://www.ruralhome.org/information-and-publications/events-calendar/710-wbnr-dataportal-intro,Introducing the New Rural Data Portal - Housing Assistance Council,"Introducing the New Rural Data Portal ... Washington, DC 20005 ... The RURAL 
DATA PORTAL is a simple, easy to use, on-line resource that provides essential
Â ..."
Florida,http://dor.myflorida.com/dor/property/resources/data.html,Florida Property Tax Data Portal - Florida Department of Revenue,"Welcome to the Florida Dept. of Revenue, Property Tax Oversight Data Portal. 
With this site we are providing single source access for all PTO published dataÂ ..."
Florida,https://ww2.doh.state.fl.us/downloadnet/Main.aspx,Health Care Practitioner Data Portal - Florida Department of Health,"It's a New Day in Public Health. The Florida Department of Health works to 
protect, promote & improve the health of all people in Florida through integrated 
state,Â ..."
Florida,http://www.sfwmd.gov/portal/page/portal/levelthree/gis,GIS - South Florida Water Management District,"The South Florida Water Management District's Geographic Information Systems 
(GIS) Data Catalog provides visual and spatial data about water resourceÂ ..."
Florida,http://www.sfwmd.gov/portal/page/portal/xweb%20environmental%20monitoring/dbhydro%20application,DBHYDRO (Environmental Data) - South Florida Water ...,"You are invited to the South Florida Water Management District's newly 
developed training course: DBHYDRO Environmental Database. Course 
participants willÂ ..."
Florida,http://www.fgdl.org/,Florida Geographic Data Library,"Maintenance of the FGDL Metadata Explorer, a GIS Catalog Portal, from which 
data ... The Florida Geographic Data Library is a collection of Geospatial DataÂ ..."
Florida,http://portal.nwfwmdfloodmaps.com/,Northwest Florida Water Management Portal,"Welcome to the Northwest Florida Water Management District's (NWFWMD) ... 
data from other governmental sources â€“ the data provided through this portal is 
forÂ ..."
Florida,http://www.floridajobs.org/office-directory/division-of-strategic-business-development/economic-development-incentives-portal,Economic Development Incentives Portal - FloridaJobs.org,"This portal provides access to information about the state's economic 
development ... This site contains details on every non-confidential Florida 
economic ... Projects will be updated as their performance data are confirmed, as 
well as newÂ ..."
Florida,http://www2.dot.state.fl.us/TrafficSafetyWebPortal/,Florida Traffic Safety Portal,"State of Florida Department of Transportation logo - link to the FDOT website ... 
data, information, and ideas among the traffic safety professionals in Florida."
Florida,http://www.coris.noaa.gov/portals/florida.html,NOAA CoRIS - Regional Portal - Florida,"Real Time and Near-Real Time Monitoring Data. Coral Reef Watch Satellite 
Monitoring Â· Coral Reef Watch - Florida Keys."
Florida,http://www.dep.state.fl.us/air/air_data_portal/level_one_select.htm,Air Data Portal - Florida Department of Environmental Protection,"Welcome to the Division of Air Resource Management air data portal. Please 
contact us if you require any assistance or would like to request additional 
features."
Georgia,http://gce-lter.marsci.uga.edu/portal/monitoring.htm,Georgia Coastal Ecosystems LTER Data Portal,"Welcome to the GCE Data Portal - A browsable catalog of data sets and plots ... 
and GCE-affiliated monitoring programs operating near Sapelo Island, GeorgiaÂ ..."
Georgia,http://www.city-data.com/city/Portal-Georgia.html,"Portal, Georgia (GA 30450) profile: population ... - City-Data.com","Submit your own pictures of this town and show them to the World Click here for 
promotion details and to upload your Portal, Georgia photos. OSM Map; General
Â ..."
Georgia,https://portal.doe.k12.ga.us/,Portal .doe.k12.ga.us - Georgia Department of Education,"MyGaDOE Online Guide Â· GaDOE Public Website Â· Information Systems Â· AYP & 
NCLB Â· Georgia Standards Â· Data Collections Â· Financial Reports Â· Report CardÂ ..."
Georgia,http://gaassessors.com/,Georgia Tax Assessors - Your One Stop Portal to Assessment ...,"Georgia Tax Assessors - Your One Stop Portal to Assessment, Parcel Data & GIS 
for ... Search parcel data, tax digest & GIS maps by Owners Name, LocationÂ ..."
Georgia,http://gaassessors.com/georgia-map.html,Georgia Tax Assessors - Your One Stop Portal to Assessment ...,"Georgia County Tax Assessor websites by Map: Georgia Tax Assessors - Your 
One Stop Portal to Assessment, Parcel Data & GIS for. Alphabetical listing ofÂ ..."
Georgia,http://gaassessors.com/body-p.html,P - Georgia Tax Assessors - Your One Stop Portal to Assessment ...,"Welcome to Georgia Assessors! Georgia Assessors is your doorway to all 
Georgia County websites for on-line Parcel, Tax & GIS Data. Search parcel data, 
taxÂ ..."
Georgia,http://gaassessors.com/body-t.html,Georgia Tax Assessors - Your One Stop Portal to Assessment ...,"Search parcel data, tax digest & GIS maps by Owners Name, Location Address, 
Parcel Number, Legal Description, ... Georgia County Tax Assessor websites"
Georgia,http://gaassessors.com/body-c.html,C - Georgia Tax Assessors - Your One Stop Portal to Assessment ...,"Search parcel data, tax digest & GIS maps by Owners Name, Location Address, 
Parcel ... Georgia County Tax Assessor websites ... WOODBINE GA 31569"
Georgia,http://georgia.hometownlocator.com/ga/bulloch/portal.cfm,"Portal, Georgia GA Community Profile / Bulloch County, GA Data","Portal, Georgia GA Community Profile with maps, aerial photos, schools, 
hospitals, airports, real estate MLS listings and local jobs. Bulloch County, FID: 
332735,Â ..."
Georgia,https://communities.socrata.com/catalog/ndoch-macon/,Middle GA National Day of Civic Hacking | Socrata Community Data ...,"We're the extension of the National Day of Civic Hacking for all of central Georgia
. Armed with hackers and challenges, we aim to go to work on some of the bigÂ ..."
Hawaii,https://data.hawaii.gov/,Open Data: HawaiiAboutpage9,"The redesign and relaunch of Hawaii's Open Data Portal brings new features and 
new tools to open data. New charting libraries and new mapping tools allowÂ ...About this Site. With the launch of the 
State of Hawaii's Open Data portal, theÂ ...explore.data.gov ... Hawaii State Departments, Counties and Important Offices 
This data is leveraged in the Hawaii State Portal at ... Use of Open Data Portal."
Hawaii,http://www.uhero.hawaii.edu/6/data,Data | UHERO,"The UHERO Data Portal provides access to is a wide array of economic and 
social indicators for the State of Hawaii, the four counties and key externalÂ ..."
Hawaii,http://www.uhero.hawaii.edu/,UHERO: Home,"... through rigorous, independent economic research on the people, environment 
and economies of Hawaii and the Asia Pacific region. ... DATA PORTALÂ ..."
Hawaii,http://uhero.prognoz.com/,UHERO Data Portal - At a Glance,"NonFarm Jobs (Thou.), 2012. Statewide At a Glance. Indicators. Source. 2007. 
2008. 2009. 2010. 2011. 2012. NonFarm Jobs (Thou.) 624.9. 619.2. 591.5. 586.9."
Hawaii,http://www.hawaiifreepress.com/ArticlesMain/tabid/56/ID/8238/Hawaii-Open-Data-Portal-Launched.aspx,Hawaii Open Data Portal Launched > Hawaii Free Press,"Nov 17, 2012 ... State of Hawaii has now begun providing residents, analysts, and civic 
developers with unparalleled access to State data ...."
Hawaii,https://portal.ehawaii.gov/page/subscriber-services/,hawaii.gov | Subscriber Services,"Companies who purchase lists of bulk data (businesses, licensees) for ... who 
conduct large numbers of HawaiÊ»i background checks using our eCrim service."
Hawaii,https://portal.ehawaii.gov/page/design/,hawaii.gov | Our Design,"Hawaii.gov is designed for mobile with a touch-first Responsive web design. ... 
sets a new standard and the first of its kind â€” a data-driven, touch-enabled portal
."
Idaho,https://fishandgame.idaho.gov/ifwis/portal/,Idaho Fish and Wildlife Information System | ifwis,"The Idaho Fish and Wildlife Information System (IFWIS) is a comprehensive ... 
Login to see all of the Portal ... Idaho State Ranks - in need of Bird Data."
Idaho,https://www.sde.idaho.gov/site/isee/,Idaho State Department of Education - Idaho System for Educational ...,"The Idaho State Department of Education has deployed the Idaho System for 
Educational Excellence (ISEE), a K-12 Longitudinal Data System that supports 
ourÂ ..."
Idaho,http://gis.idaho.gov/portal/datamaps.html,Data and Maps - Idaho Geospatial Office - Idaho.gov,"Idaho's official geospatial data portal is INSIDE Idaho. As Framework elements 
become available, metadata and links to the web service and download areÂ ..."
Idaho,https://sites.google.com/a/isu.edu/epscor-data-portal-idaho,EPSCoR Data Portal Idaho - Google Sites,Collaborative Data Sharing Site for Idaho EPSCoR Participants.
Idaho,http://www.idahoepscor.org/DrawNKNSearch.aspx?PageID=261,Data Portal - Idaho EPSCoR,"Increased Bandwidth Will Help University of Idaho Researchers Share, Move 
Data Paul Gessler, Luke Sheneman Â· More newsÂ ..."
Idaho,http://www.idahoepscor.org/uploads/NKN%20Cataloging%20Instructions.pdf,Instructions for Contributing EPSCoR Data and ... - Idaho EPSCoR,"The Northwest Knowledge Network (NKN) data portal was developed, in part, ... 
to be in compliance with the official Idaho NSF EPSCoR data sharing policy,."
Idaho,http://www.idahoepscor.org/DrawOnePage.aspx?PageID=195,Idaho NSF EPSCoRIdaho EPSCoR Data Products,"Downscaled Climate Model Output for the Salmon River Basin, Idaho from 
WCRP ... To access the NW Knowledge Network (NKN) data portal, (BETA 
version)Â ..."
Idaho,https://www.northwestknowledge.net/,Welcome to the Northwest Knowledge Network (NKN) | NKN Portal,"NKN Portal ... The Gordon and Betty Moore Foundation's Data-Driven Discovery 
... Provides access to information about water issues in key Idaho river basinsÂ ..."
